io_nio,y_kontinuierlich_sicherheitsabstand,y_od_komponente_zuverlaessig,y_nio_wandstaerke,y_nio_ovalitaet,y_nio_od,y_nio_wellhoehe,y_nio_bindenaehte,y_nio_blasenbildung,y_nio_risse,y_nio_oberflaechenfehler,y_nio_delamination
IO,0.2572454817814567,1,0,0,0,0,0,0,0,0,0
IO,0.32365597873880364,1,0,0,0,0,0,0,0,0,0
IO,0.08698018699914231,1,0,0,0,0,0,0,0,0,0
IO,0.2486343062528403,1,0,0,0,0,0,0,0,0,0
IO,0.3873635298507498,1,0,0,0,0,0,0,0,0,0
NIO,-0.17215343762336283,1,0,1,0,1,0,0,0,0,0
NIO,-0.1715883627393684,1,0,1,0,0,0,0,0,0,0
IO,0.2661347529818592,1,0,0,0,0,0,0,0,0,0
IO,0.18357829930550273,1,0,0,0,0,0,0,0,0,0
IO,0.39276043465124183,1,0,0,0,0,0,0,0,0,0
NIO,0.1785420629650501,0,0,0,0,0,0,0,0,1,0
NIO,0.11970669585043447,1,0,0,0,0,0,1,0,0,0
IO,0.38721598553866254,1,0,0,0,0,0,0,0,0,0
IO,0.2624615946919747,1,0,0,0,0,0,0,0,0,0
IO,0.022323888501919836,1,0,0,0,0,0,0,0,0,0
IO,0.031957800579704064,1,0,0,0,0,0,0,0,0,0
IO,0.3251292001324154,1,0,0,0,0,0,0,0,0,0
IO,0.24856967297293958,1,0,0,0,0,0,0,0,0,0
IO,0.1602576216996754,1,0,0,0,0,0,0,0,0,0
IO,0.31208648817977525,1,0,0,0,0,0,0,0,0,0
IO,0.028449215984255687,1,0,0,0,0,0,0,0,0,0
NIO,0.3428584687713891,0,0,0,0,0,0,0,1,0,0
IO,0.20662971045590192,1,0,0,0,0,0,0,0,0,0
IO,0.3758899971704984,1,0,0,0,0,0,0,0,0,0
IO,0.5651153655587318,1,0,0,0,0,0,0,0,0,0
NIO,0.607498773995127,1,0,0,0,0,0,0,1,0,0
NIO,-0.327365854847827,1,1,0,0,0,0,0,0,0,0
IO,0.47666019577892776,1,0,0,0,0,0,0,0,0,0
IO,0.30194181744596593,1,0,0,0,0,0,0,0,0,0
IO,0.05909339355412454,1,0,0,0,0,0,0,0,0,0
IO,0.1431084692015731,0,0,0,0,0,0,0,0,0,0
IO,0.2705731617987913,1,0,0,0,0,0,0,0,0,0
IO,0.19529885666268607,1,0,0,0,0,0,0,0,0,0
IO,0.31775888481875,1,0,0,0,0,0,0,0,0,0
NIO,-0.0690978033895782,1,0,0,1,0,0,0,0,0,0
IO,0.4412432866742977,1,0,0,0,0,0,0,0,0,0
IO,0.49610395071959823,1,0,0,0,0,0,0,0,0,0
NIO,-0.17330490376206273,1,0,1,0,0,0,0,0,0,0
IO,0.5518030827605773,1,0,0,0,0,0,0,0,0,0
IO,0.021637295954019902,1,0,0,0,0,0,0,0,0,0
NIO,-0.12442853205573282,1,0,1,0,1,0,0,0,0,0
NIO,-0.03485690470325394,1,0,0,0,1,0,0,0,0,0
IO,0.36695247985812307,1,0,0,0,0,0,0,0,0,0
IO,0.3407727749076925,1,0,0,0,0,0,0,0,0,0
IO,0.132901672872995,0,0,0,0,0,0,0,0,0,0
IO,0.6220788083950857,1,0,0,0,0,0,0,0,0,0
IO,0.4645484039911191,1,0,0,0,0,0,0,0,0,0
IO,0.27237711894104033,1,0,0,0,0,0,0,0,0,0
NIO,-0.04887431336088359,1,0,0,1,0,0,0,0,0,0
IO,0.45240744051152565,1,0,0,0,0,0,0,0,0,0
IO,0.5988334176367888,0,0,0,0,0,0,0,0,0,0
IO,0.49187141208945595,0,0,0,0,0,0,0,0,0,0
IO,0.2339412462595286,1,0,0,0,0,0,0,0,0,0
NIO,-0.04571321277338336,1,0,0,1,0,0,0,0,0,0
NIO,0.25439821135007684,1,0,0,0,0,0,0,0,1,0
IO,0.34850923689387603,1,0,0,0,0,0,0,0,0,0
IO,0.1565524493335938,1,0,0,0,0,0,0,0,0,0
IO,0.22451852961250876,1,0,0,0,0,0,0,0,0,0
IO,0.0877093770067298,1,0,0,0,0,0,0,0,0,0
IO,0.5291762567411883,1,0,0,0,0,0,0,0,0,0
IO,0.1895612512696741,1,0,0,0,0,0,0,0,0,0
IO,0.5766216523134773,1,0,0,0,0,0,0,0,0,0
IO,0.14560939659017835,1,0,0,0,0,0,0,0,0,0
IO,0.035727352183406294,1,0,0,0,0,0,0,0,0,0
NIO,-0.040014179364431524,1,0,0,0,1,0,0,0,0,0
NIO,0.23043477719895789,0,0,0,0,0,0,1,0,0,0
IO,0.273373668402949,1,0,0,0,0,0,0,0,0,0
IO,0.6392076615147121,1,0,0,0,0,0,0,0,0,0
NIO,-0.06074510661568888,1,0,0,1,0,0,0,0,0,0
IO,0.24550128269287042,1,0,0,0,0,0,0,0,0,0
IO,0.07594096672818593,1,0,0,0,0,0,0,0,0,0
IO,0.07898696217212953,1,0,0,0,0,0,0,0,0,0
IO,0.42568232076294993,1,0,0,0,0,0,0,0,0,0
IO,0.30643283155700846,1,0,0,0,0,0,0,0,0,0
NIO,0.2726143138043296,1,0,0,0,0,0,1,0,0,0
IO,0.4871600715413014,1,0,0,0,0,0,0,0,0,0
NIO,-0.19623502986933458,1,0,0,0,1,0,0,0,0,0
IO,0.5437132215500751,1,0,0,0,0,0,0,0,0,0
NIO,0.2873190891541668,1,0,0,0,0,0,0,0,1,0
IO,0.26386971963621314,1,0,0,0,0,0,0,0,0,0
IO,0.254176044928664,1,0,0,0,0,0,0,0,0,0
IO,0.04684688951510123,1,0,0,0,0,0,0,0,0,0
NIO,-0.25098809484986384,1,1,0,0,0,0,0,0,1,0
IO,0.4027136692925641,1,0,0,0,0,0,0,0,0,0
IO,0.13993796055105073,1,0,0,0,0,0,0,0,0,0
IO,0.1715312956214225,1,0,0,0,0,0,0,0,0,0
NIO,0.4082092830268199,1,0,0,0,0,0,0,1,0,0
IO,0.016965156521247714,1,0,0,0,0,0,0,0,0,0
IO,0.09390763114810445,1,0,0,0,0,0,0,0,0,0
NIO,-0.06903823798490787,1,0,0,0,1,0,0,0,0,0
NIO,-0.010707450868322848,1,0,0,0,1,0,0,0,0,0
NIO,0.06952810155960848,1,0,0,0,0,0,0,0,1,0
NIO,-0.04047551002320664,1,0,0,1,0,0,0,0,0,0
IO,0.0349720287353672,1,0,0,0,0,0,0,0,0,0
NIO,-0.018658873171164735,1,0,0,1,0,0,0,0,0,0
IO,0.19357689803254882,1,0,0,0,0,0,0,0,0,0
IO,0.48578108868215547,1,0,0,0,0,0,0,0,0,0
IO,0.2687490060895176,1,0,0,0,0,0,0,0,0,0
NIO,-0.07077154490772417,1,1,0,0,0,0,0,0,0,0
IO,0.3381880691407346,1,0,0,0,0,0,0,0,0,0
IO,0.13358729269933461,0,0,0,0,0,0,0,0,0,0
IO,0.3321285022919085,1,0,0,0,0,0,0,0,0,0
NIO,-0.029527059039215858,0,1,0,0,0,0,0,0,1,0
IO,0.24858034843475468,1,0,0,0,0,0,0,0,0,0
IO,0.16021711839113495,1,0,0,0,0,0,0,0,0,0
NIO,0.48517445472684795,1,0,0,0,0,1,0,0,0,0
NIO,-0.9397449662309799,1,0,1,0,0,0,0,0,0,0
IO,0.5864123957903136,1,0,0,0,0,0,0,0,0,0
IO,0.11917807667360651,1,0,0,0,0,0,0,0,0,0
NIO,0.000319889205783556,1,0,0,0,0,1,0,0,0,0
IO,0.016034276284951483,1,0,0,0,0,0,0,0,0,0
NIO,0.2161515878513119,1,0,0,0,0,0,0,0,1,0
IO,0.354550016779594,1,0,0,0,0,0,0,0,0,0
IO,0.2251472464998942,1,0,0,0,0,0,0,0,0,0
IO,0.28239700294015313,1,0,0,0,0,0,0,0,0,0
IO,0.4815246627027866,1,0,0,0,0,0,0,0,0,0
IO,0.1299343955067876,1,0,0,0,0,0,0,0,0,0
NIO,0.11557360668606557,1,0,0,0,0,0,0,0,1,0
IO,0.16583725763886284,1,0,0,0,0,0,0,0,0,0
IO,0.03467130232614487,1,0,0,0,0,0,0,0,0,0
NIO,-0.061732704854334616,1,1,0,0,0,0,0,0,1,0
IO,0.36084563388135393,1,0,0,0,0,0,0,0,0,0
IO,0.0607302389054581,1,0,0,0,0,0,0,0,0,0
NIO,-0.0010134771384615975,1,1,0,0,0,0,0,0,0,0
IO,0.2955830881827284,1,0,0,0,0,0,0,0,0,0
IO,0.3471293021575369,1,0,0,0,0,0,0,0,0,0
NIO,-0.28209216734017867,0,1,0,0,0,0,0,0,0,0
IO,0.08199549773684109,1,0,0,0,0,0,0,0,0,0
IO,0.13895938064168686,1,0,0,0,0,0,0,0,0,0
IO,0.4685769616127737,1,0,0,0,0,0,0,0,0,0
NIO,0.009492933950445532,0,0,0,0,0,0,0,0,0,0
IO,0.19004342568903265,1,0,0,0,0,0,0,0,0,0
NIO,-0.09678341894989359,1,0,0,0,1,0,0,0,0,0
IO,0.15013139317237467,1,0,0,0,0,0,0,0,0,0
IO,0.33865738985386096,1,0,0,0,0,0,0,0,0,0
IO,0.07836462535552999,1,0,0,0,0,0,0,0,0,0
IO,0.05333403548137332,1,0,0,0,0,0,0,0,0,0
IO,0.021624960962836802,1,0,0,0,0,0,0,0,0,0
IO,0.2718377242686169,1,0,0,0,0,0,0,0,0,0
IO,0.3881763965831566,1,0,0,0,0,0,0,0,0,0
NIO,0.27109617791505414,1,0,0,0,0,1,0,0,0,0
NIO,-0.18348013464906315,1,0,1,0,0,0,0,0,0,0
IO,0.2824911274199097,1,0,0,0,0,0,0,0,0,0
NIO,0.014985570156229405,1,0,0,0,0,0,0,0,1,0
IO,0.08680618262027892,1,0,0,0,0,0,0,0,0,0
IO,0.03497712054728671,1,0,0,0,0,0,0,0,0,0
NIO,-0.02711803116353199,1,0,0,1,0,0,0,0,0,0
IO,0.4986964306934333,1,0,0,0,0,0,0,0,0,0
NIO,-0.0563486408779472,1,0,1,0,1,0,0,0,0,0
IO,0.17662770182725662,1,0,0,0,0,0,0,0,0,0
IO,0.4141265451620361,1,0,0,0,0,0,0,0,0,0
IO,0.1961029041387219,1,0,0,0,0,0,0,0,0,0
NIO,0.34791143945150393,1,0,0,0,0,0,0,0,1,0
IO,0.24497164593804577,1,0,0,0,0,0,0,0,0,0
NIO,-0.19571014389662886,1,0,1,0,0,0,0,0,0,0
IO,0.5472667828684423,0,0,0,0,0,0,0,0,0,0
IO,0.529631650462467,1,0,0,0,0,0,0,0,0,0
IO,0.1621654643150383,1,0,0,0,0,0,0,0,0,0
NIO,0.12113449626083961,1,0,0,0,0,0,1,0,0,0
IO,0.2214163366068488,1,0,0,0,0,0,0,0,0,0
IO,0.35013751677973604,1,0,0,0,0,0,0,0,0,0
NIO,-0.2983614112708771,1,1,0,0,0,0,0,0,1,0
IO,0.16170270555168287,1,0,0,0,0,0,0,0,0,0
IO,0.2208936271110842,1,0,0,0,0,0,0,0,0,0
IO,0.3607990518590848,1,0,0,0,0,0,0,0,0,0
IO,0.29496028944621927,1,0,0,0,0,0,0,0,0,0
IO,0.06498186176759371,1,0,0,0,0,0,0,0,0,0
IO,0.3714927544586518,1,0,0,0,0,0,0,0,0,0
IO,0.25231418485430146,1,0,0,0,0,0,0,0,0,0
IO,0.8017782983655657,1,0,0,0,0,0,0,0,0,0
IO,0.20778272647946036,1,0,0,0,0,0,0,0,0,0
IO,0.3757961460522828,1,0,0,0,0,0,0,0,0,0
NIO,-0.1203680455897811,1,0,1,0,0,0,0,0,1,0
IO,0.2649630743560172,1,0,0,0,0,0,0,0,0,0
IO,0.4976182389268865,1,0,0,0,0,0,0,0,0,0
IO,0.2063147259088159,1,0,0,0,0,0,0,0,0,0
IO,0.2165408260074031,1,0,0,0,0,0,0,0,0,0
IO,0.3409144978102022,1,0,0,0,0,0,0,0,0,0
IO,0.7115593960220672,1,0,0,0,0,0,0,0,0,0
NIO,-0.09015011667622214,1,0,1,0,0,0,0,0,0,0
IO,0.47080596437916233,1,0,0,0,0,0,0,0,0,0
IO,0.18119028061973094,1,0,0,0,0,0,0,0,0,0
IO,0.3820311731596079,1,0,0,0,0,0,0,0,0,0
IO,0.12157511884388925,1,0,0,0,0,0,0,0,0,0
IO,0.24788500777957356,1,0,0,0,0,0,0,0,0,0
IO,0.1753930453219077,1,0,0,0,0,0,0,0,0,0
IO,0.38744250085407533,1,0,0,0,0,0,0,0,0,0
IO,0.1945761566471423,1,0,0,0,0,0,0,0,0,0
IO,0.43792628615101287,1,0,0,0,0,0,0,0,0,0
NIO,-0.11224722704347379,1,0,0,0,1,0,0,0,0,0
IO,0.2392606310229099,1,0,0,0,0,0,0,0,0,0
IO,0.5043380318229254,1,0,0,0,0,0,0,0,0,0
IO,0.4882890569093166,1,0,0,0,0,0,0,0,0,0
NIO,0.5081789775678133,1,0,0,0,0,0,0,0,1,0
IO,0.1905031536417042,1,0,0,0,0,0,0,0,0,0
IO,0.43987368676077354,1,0,0,0,0,0,0,0,0,0
IO,0.14566422583859984,1,0,0,0,0,0,0,0,0,0
IO,0.030505614467404112,1,0,0,0,0,0,0,0,0,0
IO,0.46672101184194775,1,0,0,0,0,0,0,0,0,0
IO,0.07310980377999969,1,0,0,0,0,0,0,0,0,0
IO,0.16723624591838868,1,0,0,0,0,0,0,0,0,0
IO,0.3215825422900642,1,0,0,0,0,0,0,0,0,0
IO,0.30098257963815583,1,0,0,0,0,0,0,0,0,0
NIO,-0.29777628515757515,1,0,1,0,1,0,0,0,0,0
NIO,-0.8821017133995965,1,0,1,0,0,0,1,0,0,0
IO,0.2848090239566307,1,0,0,0,0,0,0,0,0,0
NIO,-0.45401057985192755,1,0,1,1,0,0,0,0,0,0
NIO,0.17424966728468544,1,0,0,0,0,0,0,0,0,1
IO,0.4480041433713731,0,0,0,0,0,0,0,0,0,0
IO,0.4596703886095016,1,0,0,0,0,0,0,0,0,0
IO,0.4181500558248054,1,0,0,0,0,0,0,0,0,0
IO,0.2579222382743039,1,0,0,0,0,0,0,0,0,0
IO,0.28181708316351034,1,0,0,0,0,0,0,0,0,0
IO,0.3401246803646446,1,0,0,0,0,0,0,0,0,0
NIO,-0.529119859983111,1,1,0,0,1,0,0,0,1,0
IO,0.06244582326097481,0,0,0,0,0,0,0,0,0,0
NIO,-0.3261656277580455,1,0,0,1,0,0,0,0,0,0
NIO,-0.03232554012142804,1,0,0,0,1,0,0,0,1,0
IO,0.08946525376019088,1,0,0,0,0,0,0,0,0,0
IO,0.37260937012158524,1,0,0,0,0,0,0,0,0,0
IO,0.11807746105158871,1,0,0,0,0,0,0,0,0,0
IO,0.011819891461516038,1,0,0,0,0,0,0,0,0,0
IO,0.1756216807936628,1,0,0,0,0,0,0,0,0,0
IO,0.727763379480592,1,0,0,0,0,0,0,0,0,0
IO,0.10121745932477132,1,0,0,0,0,0,0,0,0,0
IO,0.37452683007045184,1,0,0,0,0,0,0,0,0,0
IO,0.03199859383193375,1,0,0,0,0,0,0,0,0,0
NIO,-0.009049558415088988,1,0,1,0,0,0,0,0,0,0
IO,0.2511005354067268,1,0,0,0,0,0,0,0,0,0
IO,0.2787323984305301,1,0,0,0,0,0,0,0,0,0
IO,0.37022825427455075,1,0,0,0,0,0,0,0,0,0
IO,0.4528587649882663,1,0,0,0,0,0,0,0,0,0
NIO,-0.0018180081479520402,1,0,0,0,1,0,0,0,0,0
IO,0.12227151094246214,1,0,0,0,0,0,0,0,0,0
IO,0.26696187901665,1,0,0,0,0,0,0,0,0,0
NIO,-0.16300697798725025,1,0,0,1,0,0,0,0,0,0
IO,0.2522788856235018,1,0,0,0,0,0,0,0,0,0
NIO,-0.09056683632232258,1,0,0,0,1,0,0,0,0,0
IO,0.5559824675043479,1,0,0,0,0,0,0,0,0,0
IO,0.001579967716616911,1,0,0,0,0,0,0,0,0,0
NIO,0.1317101716034791,1,0,0,0,0,0,0,0,1,0
NIO,-0.021643780104219267,1,1,0,0,0,0,0,0,0,0
IO,0.2917012518153304,1,0,0,0,0,0,0,0,0,0
IO,0.4109561833268057,1,0,0,0,0,0,0,0,0,0
IO,0.5304326369470601,1,0,0,0,0,0,0,0,0,0
IO,0.1368121106417187,1,0,0,0,0,0,0,0,0,0
IO,0.19587779143216244,1,0,0,0,0,0,0,0,0,0
IO,0.32623214776828835,1,0,0,0,0,0,0,0,0,0
NIO,-0.2604139876548952,1,0,0,1,0,0,0,0,0,0
IO,0.1905230290860018,1,0,0,0,0,0,0,0,0,0
IO,0.3450574866881434,1,0,0,0,0,0,0,0,0,0
IO,0.28976514087820854,1,0,0,0,0,0,0,0,0,0
IO,0.8035455176346628,1,0,0,0,0,0,0,0,0,0
IO,0.20897229783106985,1,0,0,0,0,0,0,0,0,0
IO,0.07589670073288184,1,0,0,0,0,0,0,0,0,0
IO,0.061708486317883136,1,0,0,0,0,0,0,0,0,0
IO,0.0713542578863981,1,0,0,0,0,0,0,0,0,0
IO,0.2413061879617982,1,0,0,0,0,0,0,0,0,0
NIO,-0.4702261296711018,1,0,1,0,0,0,0,0,0,0
IO,0.07336695869654575,1,0,0,0,0,0,0,0,0,0
NIO,-0.022051832273756605,1,0,1,0,0,0,0,0,0,0
IO,0.03664001854323825,1,0,0,0,0,0,0,0,0,0
IO,0.5099512772363312,1,0,0,0,0,0,0,0,0,0
IO,0.4249873674694958,1,0,0,0,0,0,0,0,0,0
NIO,-0.05285607891632058,1,0,1,0,0,0,0,0,0,0
IO,0.5175314291367993,1,0,0,0,0,0,0,0,0,0
NIO,0.17802090286219097,1,0,0,0,0,0,0,0,1,0
NIO,-0.10189139710897367,1,0,1,0,0,0,0,0,0,0
IO,0.27567461277034083,1,0,0,0,0,0,0,0,0,0
IO,0.4018547413389932,1,0,0,0,0,0,0,0,0,0
NIO,0.044065215807412295,1,0,0,0,0,0,0,0,1,0
NIO,-0.48600279302857063,1,0,0,1,0,0,0,0,0,0
IO,0.41588483422278816,1,0,0,0,0,0,0,0,0,0
IO,0.38692037244561683,1,0,0,0,0,0,0,0,0,0
IO,0.48462548081382784,1,0,0,0,0,0,0,0,0,0
IO,0.2670086580539192,1,0,0,0,0,0,0,0,0,0
NIO,0.1885528950999647,1,0,0,0,0,1,0,0,0,0
IO,0.2208704568078888,1,0,0,0,0,0,0,0,0,0
IO,0.04990317186476523,1,0,0,0,0,0,0,0,0,0
IO,0.625830294765613,1,0,0,0,0,0,0,0,0,0
IO,0.20184991689216855,1,0,0,0,0,0,0,0,0,0
IO,0.26877373961092876,1,0,0,0,0,0,0,0,0,0
IO,0.4089737371958206,1,0,0,0,0,0,0,0,0,0
NIO,-0.12453789665812806,1,0,0,1,0,0,0,0,0,0
IO,0.42622944781113264,1,0,0,0,0,0,0,0,0,0
IO,0.640475263471955,1,0,0,0,0,0,0,0,0,0
NIO,-0.3079283108858574,1,0,1,0,0,0,0,0,0,0
IO,0.19412243954034342,1,0,0,0,0,0,0,0,0,0
IO,0.45163977796067234,1,0,0,0,0,0,0,0,0,0
IO,0.1853152910253823,1,0,0,0,0,0,0,0,0,0
IO,0.4449117039961883,1,0,0,0,0,0,0,0,0,0
NIO,0.4264431716605605,0,0,0,0,0,0,0,0,0,0
NIO,-0.1610246213107371,1,1,0,0,0,0,0,0,1,0
IO,0.1790518524288287,1,0,0,0,0,0,0,0,0,0
NIO,-0.13647669047598687,1,0,1,0,0,0,0,0,1,0
IO,0.5128023705632464,1,0,0,0,0,0,0,0,0,0
IO,0.31118005784361785,1,0,0,0,0,0,0,0,0,0
IO,0.4607514804409372,0,0,0,0,0,0,0,0,0,0
IO,0.3850362054496964,1,0,0,0,0,0,0,0,0,0
IO,0.44356670221316,1,0,0,0,0,0,0,0,0,0
IO,0.41464729770541797,1,0,0,0,0,0,0,0,0,0
IO,0.20136923341353358,1,0,0,0,0,0,0,0,0,0
IO,0.386831719897503,1,0,0,0,0,0,0,0,0,0
IO,0.47824086731875975,1,0,0,0,0,0,0,0,0,0
IO,0.3305288005942096,1,0,0,0,0,0,0,0,0,0
IO,0.4911312525973455,1,0,0,0,0,0,0,0,0,0
IO,0.5916159595919245,1,0,0,0,0,0,0,0,0,0
NIO,-0.49287509155258924,1,0,1,1,0,0,0,0,1,0
IO,0.7247878193594034,1,0,0,0,0,0,0,0,0,0
IO,0.30348960603597136,1,0,0,0,0,0,0,0,0,0
IO,0.15365571099943928,1,0,0,0,0,0,0,0,0,0
IO,0.14477610636403646,1,0,0,0,0,0,0,0,0,0
IO,0.614386660943064,1,0,0,0,0,0,0,0,0,0
IO,0.516092481512004,1,0,0,0,0,0,0,0,0,0
IO,0.5527952659869703,1,0,0,0,0,0,0,0,0,0
IO,0.36326254652854717,0,0,0,0,0,0,0,0,0,0
IO,0.5735807508718143,1,0,0,0,0,0,0,0,0,0
IO,0.45644844818298597,1,0,0,0,0,0,0,0,0,0
IO,0.2801537495527573,1,0,0,0,0,0,0,0,0,0
IO,0.16790141021257762,1,0,0,0,0,0,0,0,0,0
NIO,-0.46233564607727595,1,0,0,1,0,0,0,0,0,0
IO,0.1575962569177662,1,0,0,0,0,0,0,0,0,0
IO,0.3671057730153769,1,0,0,0,0,0,0,0,0,0
IO,0.4401890252119283,1,0,0,0,0,0,0,0,0,0
NIO,-0.3745003608516844,1,0,1,0,0,0,0,0,0,0
IO,0.2992642608807494,1,0,0,0,0,0,0,0,0,0
IO,0.5246317678189727,1,0,0,0,0,0,0,0,0,0
IO,0.42008272246491674,1,0,0,0,0,0,0,0,0,0
IO,0.15588570514080877,1,0,0,0,0,0,0,0,0,0
IO,0.3487491131791363,1,0,0,0,0,0,0,0,0,0
IO,0.2539666724834026,1,0,0,0,0,0,0,0,0,0
NIO,0.5545697110841221,0,0,0,0,0,0,0,0,1,0
IO,0.25163739682606456,1,0,0,0,0,0,0,0,0,0
IO,0.6845934000108969,1,0,0,0,0,0,0,0,0,0
IO,0.42714158877590486,0,0,0,0,0,0,0,0,0,0
IO,0.5117163629646775,1,0,0,0,0,0,0,0,0,0
IO,0.19559532373745248,1,0,0,0,0,0,0,0,0,0
NIO,-0.25314049636876906,0,0,1,0,0,0,0,0,0,0
IO,0.40065966542803494,1,0,0,0,0,0,0,0,0,0
NIO,-0.5384244511526631,1,1,0,0,0,0,0,0,1,0
NIO,-0.7782410744592552,1,0,1,0,0,0,0,0,0,0
IO,0.4765143860229452,1,0,0,0,0,0,0,0,0,0
IO,0.1526546348042841,1,0,0,0,0,0,0,0,0,0
IO,0.3435685255730355,1,0,0,0,0,0,0,0,0,0
IO,0.25647469546295654,1,0,0,0,0,0,0,0,0,0
IO,0.09312970353986631,1,0,0,0,0,0,0,0,0,0
IO,0.48498503979208984,1,0,0,0,0,0,0,0,0,0
IO,0.22827562845307264,1,0,0,0,0,0,0,0,0,0
NIO,-0.021091983741229153,1,0,0,1,0,0,0,0,0,0
IO,0.3351595773385071,1,0,0,0,0,0,0,0,0,0
NIO,-0.9563110257978893,1,1,0,0,0,0,0,0,1,0
IO,0.1960335487485752,1,0,0,0,0,0,0,0,0,0
NIO,0.21364457225372743,1,0,0,0,0,0,0,0,1,0
IO,0.30186262633869276,1,0,0,0,0,0,0,0,0,0
IO,0.020483899338891078,1,0,0,0,0,0,0,0,0,0
IO,0.0008663966395507557,1,0,0,0,0,0,0,0,0,0
IO,0.49291578677311376,1,0,0,0,0,0,0,0,0,0
IO,0.4495371465211875,1,0,0,0,0,0,0,0,0,0
IO,0.3561599576346305,1,0,0,0,0,0,0,0,0,0
IO,0.39984688706081,1,0,0,0,0,0,0,0,0,0
NIO,-0.06753739762243352,1,0,1,0,0,0,0,0,0,0
IO,0.5198652852534277,1,0,0,0,0,0,0,0,0,0
NIO,0.14924788247425166,1,0,0,0,0,0,0,0,0,1
IO,0.6475898562046342,1,0,0,0,0,0,0,0,0,0
NIO,-0.49141999399758407,1,0,0,1,0,0,0,0,0,0
IO,0.4733150584023725,0,0,0,0,0,0,0,0,0,0
NIO,-0.18098716808723744,1,0,1,0,0,0,1,0,0,0
IO,0.36522669361552945,1,0,0,0,0,0,0,0,0,0
IO,0.017374418121637685,1,0,0,0,0,0,0,0,0,0
